"geoid","datawrapper_id","geography","name","short_name","latitude","longitude","population","median_hh_income","poverty_rate_total","poverty_rate_deep","poverty_rate_notdeep","snap_rate_total","snap_rate_children","housing_owner_occupied","educ_hs_plus","educ_ba_plus","employment_rate_civilian","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic","foreign_born","has_health_insurance","homeless_count_year","homeless_count_age_25_54","homeless_count_age_55_plus","homeless_count_age_unknown","homeless_count_age_under_18","homeless_count_gender_nonconforming","homeless_count_hh_domestic_violence","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered","homeless_count_gender_male","homeless_count_chronic","homeless_count_total_adults","homeless_count_total_children","homeless_count_total_families","homeless_count_total_households","homeless_count_total_individuals","homeless_count_veterans","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_age_18_24"
"1","1","us","United States","United States",NA,NA,327167439,61937,13.1,5.9,7.2,11.3,18.2,63.9,88.3,32.6,95.1,60.2,12.3,0.8,5.6,0.3,2.4,18.3,13.7,91.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","50","state_vt","Vermont","Vermont",NA,NA,626299,60782,11,4.7,6.3,10.4,13.2,72.2,93.5,38.7,96.2,92.6,1.2,0.3,1.9,0.2,1.9,2,4.9,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01","01","state","Alabama","Alabama",NA,NA,4887871,49861,16.8,7.6,9.2,13.3,22.3,68,86.6,25.5,94.4,65.3,26.6,0.5,1.3,0.1,1.8,4.3,3.3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","02","state","Alaska","Alaska",NA,NA,737438,74346,10.9,5.2,5.7,10.9,17.6,65.6,93.3,30.2,93.2,60.1,3.3,15.7,6.2,0.1,7.3,7.2,8.2,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","04","state","Arizona","Arizona",NA,NA,7171646,59246,14,6.3,7.7,10.4,18.7,64.8,87.5,29.7,94.6,54.3,4.3,4.1,3.2,0.1,2.3,31.6,13.4,89.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","05","state","Arkansas","Arkansas",NA,NA,3013825,47062,17.2,6.7,10.5,11.4,18,65.8,87.2,23.3,95.5,72.1,15.1,0.9,1.5,0.2,2.5,7.6,4.8,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","06","state","California","California",NA,NA,39557045,75277,12.8,5.9,6.9,8.5,16.1,54.8,83.8,34.2,94.5,36.6,5.5,0.7,14.5,0.3,3,39.3,26.9,92.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","08","state","Colorado","Colorado",NA,NA,5695564,71953,9.6,4.6,5,7.2,11.5,65.1,91.9,41.7,96.1,67.8,3.9,0.7,3.1,0.2,2.6,21.7,9.6,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","09","state","Connecticut","Connecticut",NA,NA,3572665,76348,10.4,4.5,5.9,11.2,14.7,65.8,90.9,39.6,94.5,66.3,10,0.1,4.6,0.3,2,16.5,14.6,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10","state","Delaware","Delaware",NA,NA,967171,64805,12.5,5.4,7.1,11.3,19.7,71,89.8,31.3,94.3,61.8,21.8,0.4,4,0.1,2.2,9.5,9.4,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","11","state","District of Columbia","District of Columbia",NA,NA,702455,85203,16.2,9.7,6.5,14,26.3,42.3,92.1,60.4,92.5,36.9,44.4,0.2,3.8,0.5,2.7,11.3,13.9,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
