latitude,longitude,GEOID
44.031248,-73.141581,50001
43.035325,-73.11146,50003
44.468791,-72.112168,50005
44.460676,-73.070525,50007
44.724021,-71.732736,50009
44.858964,-72.909402,50011
44.801788,-73.300758,50013
44.603504,-72.638356,50015
44.003392,-72.369687,50017
44.828442,-72.25163,50019
43.580844,-73.038196,50021
44.274953,-72.609475,50023
42.999143,-72.716335,50025
43.588143,-72.591515,50027
43.864713,-72.9901335,5000128600
44.0978095,-73.0485314,5000109025
43.9254949,-73.1115282,5000162575
43.9629183,-73.2177012,5000116000
44.0052914,-72.8413144,5000129575
43.9053287,-72.918171,5000131525
44.0018997,-73.1190475,5000144350
44.2270403,-73.1317208,5000145550
44.1304184,-73.3401912,5000153950
43.9849365,-72.9967754,5000159650
43.8992426,-73.3153144,5000165050
44.2102844,-72.9934529,5000170075
44.1676604,-73.2553163,5000174650
43.9817242,-73.3319365,5000108575
44.2031331,-73.2791964,5000126300
43.8090987,-73.2779922,5000153725
43.8745281,-73.0997492,5000139325
44.1049674,-73.1657672,5000148700
44.0929248,-72.9735212,5000140075
43.8764212,-73.2125363,5000183800
44.1239371,-73.2293622,5000176075
44.0585392,-73.3323146,5000100325
44.0403287,-73.2227845,5000183275
