GEOID,latitude,longitude
5000128600,43.864713,-72.9901335
5000109025,44.0978095,-73.0485314
5000162575,43.9254949,-73.1115282
5000116000,43.9629183,-73.2177012
5000129575,44.0052914,-72.8413144
5000131525,43.9053287,-72.918171
5000144350,44.0018997,-73.1190475
5000145550,44.2270403,-73.1317208
5000153950,44.1304184,-73.3401912
5000159650,43.9849365,-72.9967754
5000165050,43.8992426,-73.3153144
5000170075,44.2102844,-72.9934529
5000174650,44.1676604,-73.2553163
5000108575,43.9817242,-73.3319365
5000126300,44.2031331,-73.2791964
5000153725,43.8090987,-73.2779922
5000139325,43.8745281,-73.0997492
5000148700,44.1049674,-73.1657672
5000140075,44.0929248,-72.9735212
5000183800,43.8764212,-73.2125363
5000176075,44.1239371,-73.2293622
5000100325,44.0585392,-73.3323146
5000183275,44.0403287,-73.2227845
