se_variable	se_variable_description	variable_name
A10008_001	     Households Total	
      A10008_002	"     Households, family households"	pct_housing_hhtype_pct_family_any
      A10008_003	"     Households, family households married couple"	pct_housing_hhtype_pct_family_married_couple
      A10008_004	"     Households, family households other family"	pct_housing_hhtype_pct_family_other
      A10008_005	"     Households, family, other, male household head, no wife"	pct_housing_hhtype_pct_family_other_headm_spouseno
      A10008_006	"     Households, family, other, female household head, no husband"	pct_housing_hhtype_pct_family_other_headf_spouseno
      A10008_007	"     Households, non family"	pct_housing_hhtype_pct_nonfamily_any
      A10008_008	"     Households, non family, male householder"	pct_housing_hhtype_pct_nonfamily_headf
      A10008_009	"     Households, non family, female households"	pct_housing_hhtype_pct_nonfamily_headf
A10004B_001	   Renter-Occupied Housing Units	
            A10004B_002	      Family Households	pct_housing_hhtype_renter_pct_family_any
            A10004B_003	         Married-Couple Family	pct_housing_hhtype_renter_pct_family_married_couple
            A10004B_007	         Other Family	pct_housing_hhtype_renter_pct_family_other
            A10004B_008	"            Male Householder, No Wife Present"	pct_housing_hhtype_renter_pct_family_other_headm_spouseno
            A10004B_012	"            Female Householder, No Husband Present"	pct_housing_hhtype_renter_pct_family_other_headf_spouseno
            A10004B_016	      Nonfamily Households	pct_housing_hhtype_renter_pct_nonfamily_any
            A10004B_017	         Householder Living Alone	pct_housing_hhtype_renter_pct_alone
            A10004B_021	         Householder Not Living Alone	pct_housing_hhtype_renter_pct_notalone
A10024_001	   Occupied Housing Units	
            A10024_002	      1-Person Household	pct_housing_unittype_pct_1p
            A10024_003	      2-Person Household	pct_housing_unittype_pct_2p
            A10024_004	      3-Person Household	pct_housing_unittype_pct_3p
            A10024_005	      4-Person Household	pct_housing_unittype_pct_4p
            A10024_006	      5-Person Household	pct_housing_unittype_pct_5p
            A10024_007	      6-Person Household	pct_housing_unittype_pct_6p
            A10024_008	      7-or-More Person Household	pct_housing_unittype_pct_7p
A10002B_001	   Renter-Occupied Housing Units	
            A10002B_002	      1-Person Household	pct_housing_unittype_renter_pct_1p
            A10002B_003	      2-Person Household	pct_housing_unittype_renter_pct_2p
            A10002B_004	      3-Person Household	pct_housing_unittype_renter_pct_3p
            A10002B_005	      4-Person Household	pct_housing_unittype_renter_pct_4p
            A10002B_006	      5-Person Household	pct_housing_unittype_renter_pct_5p
            A10002B_007	      6-Person Household	pct_housing_unittype_renter_pct_6p
            A10002B_008	      7-or-More Person Household	pct_housing_unittype_renter_pct_7p
A10022_001	   Occupied Housing Units	
            A10022_002	      With Related Children of the Householder Under 18	pct_housing_hhchild_pct_children_related_under18_any
            A10022_003	         With Own Children of the Householder Under 18	pct_housing_hhchild_pct_children_own_under18_total
            A10022_004	            Under 6 Years Only	pct_housing_hhchild_pct_children_own_under06
            A10022_005	            Under 6 Years and 6 to 17 Years	pct_housing_hhchild_pct_children_own_under06_6to17
            A10022_006	            6 to 17 Years	pct_housing_hhchild_pct_children_own_6to17
            A10022_007	         No Own Children of the Householder Under 18	pct_housing_hhchild_pct_children_own_under18_none
            A10022_008	      No Related Children of the Householder Under 18	pct_housing_hhchild_pct_children_related_under18_none
A10005B_001	   Renter-Occupied Housing Units	pct_housing_hhchild_rentertotal
            A10005B_002	      With Related Children of the Householder Under 18	pct_housing_hhchild_renter_pct_children_related_under18_any
            A10005B_003	         With Own Children of the Householder Under 18	pct_housing_hhchild_renter_pct_children_own_under18_total
            A10005B_004	            Under 6 Years Only	pct_housing_hhchild_renter_pct_children_own_under06
            A10005B_005	            Under 6 Years and 6 to 17 Years	pct_housing_hhchild_renter_pct_children_own_under06_6to17
            A10005B_006	            6 to 17 Years	pct_housing_hhchild_renter_pct_children_own_6to17
            A10005B_007	         No Own Children of the Householder Under 18	pct_housing_hhchild_renter_pct_children_own_under18_none
            A10005B_008	      No Related Children of the Householder Under 18	pct_housing_hhchild_renter_pct_children_related_under18_none
A10010_001	Total households	
A10010_002	      With a Householder Who Is White Alone	pct_housing_hhrace_pct_whitealone
             A10010_003	      With a Householder Who Is Black or African  American Alone	pct_housing_hhrace_pct_black
             A10010_004	      With a Householder Who Is American Indian and  Alaska Native Alone	pct_housing_hhrace_pct_aian
             A10010_005	      With a Householder Who Is Asian Alone	pct_housing_hhrace_pct_asian
             A10010_006	      With a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone	pct_housing_hhrace_pct_nhpi
             A10010_007	      With a Householder Who Is Some Other Race Alone	pct_housing_hhrace_pct_other
