"geoid","geography","name","short_name","latitude","longitude","child_poverty_rate_total","child_poverty_rate_deep","child_poverty_rate_notdeep"
"50","state_vt","Vermont","Vermont",NA,NA,12.1,5.8,6.3
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,9,5.4,3.6
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,15.5,5.8,9.8
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,16.4,7.2,9.2
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,12.9,5.3,7.6
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,20.2,9.3,10.9
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,7.4,3.5,3.9
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,10,5.5,4.4
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,21.6,12.1,9.5
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,15.2,6.6,8.6
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,14.5,4.4,10.1
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,13.8,4.3,9.5
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,17.4,8.9,8.5
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,18.4,9.8,8.6
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,14.2,7,7.2
