"geoid","geography","name","short_name","latitude","longitude","educ_hs_plus","educ_ba_plus","educ_lessthanhs","educ_hs_ged","educ_somecoll","educ_ba","educ_gradprof"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,94.8,36.8,5.2,29.5,28.5,24.7,12.1
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,93.6,30.5,6.30000000000001,35.1,28.1,18.9,11.6
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,90.3,27.9,9.7,39.9,22.5,17.7,10.2
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,97.5,58.9,2.5,21.1,17.5,29.4,29.5
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,95.1,38.1,4.89999999999999,27.3,29.8,23.1,14.9
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,91.8,45.1,8.3,19.7,27,27,18
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,93.2,30.7,6.80000000000001,33,29.5,20.1,10.6
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,83.5,21.5,16.5,40.8,21.2,16.9,4.6
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,91.1,22.2,8.89999999999999,40.1,28.8,15,7.2
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,92.4,42.8,7.5,25.2,24.4,26.4,16.5
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,93.2,43.1,6.80000000000001,27.7,22.4,21,22.1
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,93.8,42.4,6.19999999999999,23.1,28.3,27.4,15
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,92.3,27.2,7.7,34.7,30.4,17.3,9.9
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,94,32.6,6.09999999999999,37.7,23.7,23.7,8.8
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,92.2,35.6,7.8,32.3,24.3,28.4,7.2
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,91.6,48.6,8.39999999999999,16.5,26.6,37.3,11.2
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,93.1,36.1,6.90000000000001,32.6,24.4,22.1,14
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,88.9,30.5,11.1,32.7,25.7,17.3,13.2
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,91.9,41.1,7.99999999999999,25.3,25.6,26.4,14.7
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,93.9,27.7,6.19999999999999,33.6,32.6,20.1,7.5
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,93.6,41.8,6.39999999999999,28.1,23.7,22.6,19.2
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,95.7,56.5,4.3,18.9,20.3,21.7,34.8
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,90.5,28.8,9.5,38.7,23,18.5,10.3
