"geoid","geography","name","short_name","latitude","longitude","educ_hs_plus","educ_ba_plus","educ_lessthanhs","educ_hs_ged","educ_somecoll","educ_ba","educ_gradprof"
"1","us","United States","United States",NA,NA,88.3,32.6,11.6,26.9,28.9,20,12.6
"50","state_vt","Vermont","Vermont",NA,NA,93.5,38.7,6.5,28.6,26.2,23.1,15.6
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,92.9,36.7,7.2,30.5,25.7,21.9,14.7
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,91.9,35.7,8.2,29.3,26.8,21.7,14
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,90.9,28.1,9,36.1,26.8,17.1,11
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,-73.070525,94.1,50.7,5.90000000000001,19.2,24.2,29.8,20.9
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,85.8,15.6,14.1,45.5,24.7,9.4,6.3
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,90.8,23.7,9.2,38.2,28.9,15.9,7.8
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,94.3,39.2,5.69999999999999,28.1,27,22.1,17.1
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,92.6,37.3,7.3,25.1,30.2,22.7,14.7
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,91.8,29.1,8.09999999999999,35.5,27.2,16.1,13.1
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,87.6,21.6,12.5,38.3,27.6,13.1,8.5
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,92.3,30.3,7.7,35.1,26.9,19.2,11.1
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,93.4,41.5,6.5,27.3,24.7,23.4,18.1
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,93.4,38.6,6.60000000000001,30.2,24.6,21.8,16.8
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,93.2,36.3,6.8,30.1,26.8,20.6,15.7
