"FIPS-Code","name","estimate"
"01001","Autauga County, Alabama",0.4602
"01003","Baldwin County, Alabama",0.4609
"01005","Barbour County, Alabama",0.4731
"01007","Bibb County, Alabama",0.4294
"01009","Blount County, Alabama",0.4331
"01011","Bullock County, Alabama",0.5174
"01013","Butler County, Alabama",0.4708
"01015","Calhoun County, Alabama",0.4676
"01017","Chambers County, Alabama",0.4568
"01019","Cherokee County, Alabama",0.4539
"01021","Chilton County, Alabama",0.4845
"01023","Choctaw County, Alabama",0.4809
"01025","Clarke County, Alabama",0.5185
"01027","Clay County, Alabama",0.4684
"01029","Cleburne County, Alabama",0.4622
"01031","Coffee County, Alabama",0.4427
"01033","Colbert County, Alabama",0.4496
"01035","Conecuh County, Alabama",0.4354
"01037","Coosa County, Alabama",0.4646
"01039","Covington County, Alabama",0.4553
"01041","Crenshaw County, Alabama",0.504
"01043","Cullman County, Alabama",0.4548
"01045","Dale County, Alabama",0.45
"01047","Dallas County, Alabama",0.4885
"01049","DeKalb County, Alabama",0.4748
"01051","Elmore County, Alabama",0.4359
"01053","Escambia County, Alabama",0.4823
"01055","Etowah County, Alabama",0.4483
"01057","Fayette County, Alabama",0.4635
"01059","Franklin County, Alabama",0.4224
"01061","Geneva County, Alabama",0.4413
"01063","Greene County, Alabama",0.5041
"01065","Hale County, Alabama",0.5071
"01067","Henry County, Alabama",0.435
"01069","Houston County, Alabama",0.4808
"01071","Jackson County, Alabama",0.4616
"01073","Jefferson County, Alabama",0.4996
"01075","Lamar County, Alabama",0.4623
"01077","Lauderdale County, Alabama",0.4672
"01079","Lawrence County, Alabama",0.4389
"01081","Lee County, Alabama",0.5081
"01083","Limestone County, Alabama",0.4509
"01085","Lowndes County, Alabama",0.4999
"01087","Macon County, Alabama",0.5145
"01089","Madison County, Alabama",0.4673
"01091","Marengo County, Alabama",0.5386
"01093","Marion County, Alabama",0.4596
"01095","Marshall County, Alabama",0.4805
"01097","Mobile County, Alabama",0.4765
"01099","Monroe County, Alabama",0.5477
"01101","Montgomery County, Alabama",0.4929
"01103","Morgan County, Alabama",0.4511
"01105","Perry County, Alabama",0.479
"01107","Pickens County, Alabama",0.4997
"01109","Pike County, Alabama",0.5343
"01111","Randolph County, Alabama",0.4733
"01113","Russell County, Alabama",0.454
"01115","St. Clair County, Alabama",0.4068
"01117","Shelby County, Alabama",0.4344
"01119","Sumter County, Alabama",0.5469
"01121","Talladega County, Alabama",0.4584
"01123","Tallapoosa County, Alabama",0.4617
"01125","Tuscaloosa County, Alabama",0.463
"01127","Walker County, Alabama",0.4587
