"geoid","geography","name","short_name","latitude","longitude","homeless_count_total_individuals","homeless_count_total_adults","homeless_count_total_children","homeless_count_gender_nonconforming","homeless_count_gender_men","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered"
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,73,53,20,0,33,0,37,64,3,8,1
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,88,63,25,0,46,1,41,81,36,1,6
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,41,30,11,0,20,0,21,33,8,5,3
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,261,224,33,2,145,2,112,200,66,16,45
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,0,0,0,0,0,0,0,0,0,0,0
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,53,39,14,1,30,0,22,47,26,4,2
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,0,0,0,0,0,0,0,0,0,0,0
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,38,28,10,0,22,0,16,31,9,0,7
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,23,22,1,0,19,0,4,3,3,17,3
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,25,20,5,0,13,0,12,12,8,7,6
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,126,98,28,0,66,0,62,115,86,9,2
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,172,148,24,0,96,2,71,144,53,17,7
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,97,79,18,1,51,2,48,83,27,10,4
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,113,86,27,0,59,1,52,83,14,2,28
