"geoid","geography","name","short_name","latitude","longitude","median_gross_rent","median_gross_rent_pct","median_value_owner_occupied","housing_type_owner_occupied","housing_type_renter_occupied","commute_15minutes_or_less"
"50","state_vt","Vermont","Vermont",NA,NA,969,28.8,233100,72.2,27.8,31.7
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,990,27.4,241900,74.1,25.9,33.7
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,839,28.6,209100,73.3,26.7,47.3
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,760,30.2,168200,72.2,27.8,34.6
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,-73.070525,1230,32,288200,63,37,30.9
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,718,29.2,131700,80.2,19.8,29.1
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,959,27,213400,74.5,25.5,30.4
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,985,31.8,270800,82.4,17.6,18.7
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,919,29.7,228000,72.5,27.5,32
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,904,29.7,191700,80.9,19.1,22.1
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,783,29.5,162200,77,23,36.8
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,831,29.6,176600,72.5,27.5,36
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,907,27.7,222600,70.8,29.2,35.2
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,881,30.9,212500,67.8,32.2,38.9
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,940,30.5,216800,73.2,26.8,32.6
