"geoid","geography","name","short_name","latitude","longitude","median_gross_rent","median_gross_rent_pct","median_value_owner_occupied","housing_type_owner_occupied","housing_type_renter_occupied","commute_15minutes_or_less"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,1375,25,243500,88.4,11.6,17
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,1053,25.8,265000,75.7,24.3,26.1
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,845,31.3,221900,69.7,30.3,22.5
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,1082,18.2,357000,80.1,19.9,47.8
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,969,23.1,271900,79.5,20.5,22.2
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,NA,NA,195500,94.9,5.1,25.9
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,931,19.4,205400,69.5,30.5,15.4
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,783,24.5,146700,76.3,23.7,40
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,1081,23.1,204400,89.2,10.8,19.7
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,875,28.8,260700,81.2,18.8,17.8
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,946,28.7,252800,56.8,43.2,64.9
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,1571,17.7,246000,81.9,18.1,12.1
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,1048,26.1,256600,81.1,18.9,37.7
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,968,25,219900,86.6,13.4,17.9
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,1350,42,250000,77.9,22.1,28.4
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,1263,22.9,222700,80.1,19.9,24.9
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,875,26.9,245100,80.3,19.7,34.4
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,1004,21.9,222900,79.1,20.9,35.4
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,1424,26.4,220500,85.8,14.2,12.2
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,1024,28.7,220900,61.3,38.7,36.8
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,1175,23.1,226300,90.9,9.1,41.9
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,994,31.5,339200,81.9,18.1,58.2
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,875,23.8,214100,83.9,16.1,12.3
