"geoid","geography","name","short_name","latitude","longitude","median_hh_income"
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,65093
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,53040
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,49348
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,-73.070525,69896
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,41045
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,64258
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,69583
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,60365
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,60159
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,47915
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,54973
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,62108
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,52659
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,58303
