"geoid","geography","name","short_name","latitude","longitude","age_under18","age_18_24","age_25_34","age_35_54","age_55_64","age_over65"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,21.6,8.6,9.6,28.3,11.9,19.9
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,19.1,4.6,13.7,23.3,18.2,21.2
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,19,7.2,10.3,25.1,20.8,17.6
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,14.1,6.6,8,23.8,18,29.5
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,14.8,9.6,10,26.4,21,18.1
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,7.5,1.5,13.4,20.9,16.4,40.3
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,20.5,4.5,15.9,30.1,19,9.9
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,16.4,3.1,6.5,29.1,14.9,30
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,15.4,10.2,5.7,22,22.5,24.3
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,23.1,7.1,5.7,29.8,18,16.4
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,12.8,34,8,17.9,10.2,17.2
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,22.9,2.8,13.2,31.4,14.4,15.2
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,19.3,8.1,11.7,26.1,17.6,17.2
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,19.1,12.3,6.1,27.2,14.9,20.4
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,16.8,8.9,10.4,34.1,13.5,16.4
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,19.1,4.7,8.2,30.6,19.5,17.9
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,20.3,8,8.2,25.6,15.5,22.4
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,18,5,16.9,28.8,13,18.4
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,23.4,8,10.9,30.7,16.8,10.2
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,17.1,9.2,15.6,24.1,13.9,20.2
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,13.7,6.9,6.2,26.5,15.9,30.8
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,20.3,6.4,7.5,24.1,20.6,21.1
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,26.2,3.2,17.2,19.8,17.4,16.3
