geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5000363175,county subdivision,Searsburg , Bennington County,33,9.7,23.3,41.2,11.8,29.4
5000785150,county subdivision,Winooski , Chittenden County,31,16.2,14.8,50.4,33.5,16.8
5002501900,county subdivision,Athens , Windham County,27.2,22.5,4.8,57,50.6,6.3
5001537075,county subdivision,Johnson , Lamoille County,26.7,11,15.7,26.4,3.9,22.5
5002303175,county subdivision,Barre , Washington County,26.6,15.5,11.1,47.3,28.7,18.6
5001928075,county subdivision,Glover , Orleans County,25.6,4.7,20.9,33.2,4.6,28.6
5000710675,county subdivision,Burlington , Chittenden County,24.7,13.2,11.6,25.6,9.5,16.1
5000911800,county subdivision,Canaan , Essex County,23.1,7.1,16,26.4,6.4,20
5001909850,county subdivision,Brownington , Orleans County,23.1,7.6,15.5,33.9,13.1,20.7
5001900475,county subdivision,Albany , Orleans County,22.9,4,18.9,32.5,,32.5
5001981700,county subdivision,Westmore , Orleans County,20.4,3.6,16.9,54.2,,54.2
5002560250,county subdivision,Rockingham , Windham County,20.2,7.7,12.4,25.6,11.6,14
5000910075,county subdivision,Brunswick , Essex County,19.8,18.6,1.2,84.6,84.6,
5002180875,county subdivision,West Haven , Rutland County,19.4,5.9,13.4,25.8,4.5,21.2
5002507900,county subdivision,Brattleboro , Windham County,19.2,8,11.2,24.3,11.6,12.7
5000547725,county subdivision,Newark , Caledonia County,19.1,7.4,11.7,33.3,10.8,22.6
5002311125,county subdivision,Cabot , Washington County,19.1,5.4,13.7,32.4,13,19.4
5000941425,county subdivision,Lunenburg , Essex County,18.8,8.9,9.9,36.3,25.4,10.9
5000183800,county subdivision,Whiting , Addison County,18.3,5.2,13.1,42.2,8.9,33.3
5000561525,county subdivision,Ryegate , Caledonia County,18.2,2.4,15.8,39.4,,39.4
5000541725,county subdivision,Lyndon , Caledonia County,17.8,11.4,6.4,19,17.2,1.8
5001973525,county subdivision,Troy , Orleans County,17.7,6.3,11.4,30.1,13.3,16.8
5002155600,county subdivision,Pittsford , Rutland County,17.4,4.1,13.3,31,3.1,27.9
5002769550,county subdivision,Springfield , Windsor County,17.4,9.8,7.6,28.8,15.2,13.5
5001948850,county subdivision,Newport , Orleans County,17.2,4.4,12.7,9.4,2.8,6.6
5001715700,county subdivision,Corinth , Orange County,16.9,7.6,9.3,28.1,16,12.1
5001903550,county subdivision,Barton , Orleans County,16.8,7.1,9.8,20.1,6.9,13.3
5000921250,county subdivision,East Haven , Essex County,16.5,7.2,9.4,14,14,
5000304825,county subdivision,Bennington , Bennington County,16.2,5.3,10.9,26.7,8.5,18.2
5000510450,county subdivision,Burke , Caledonia County,16.2,6,10.2,23.5,8.6,14.9
5002760850,county subdivision,Royalton , Windsor County,16.1,11,5.2,22.2,20.4,1.8
5002741275,county subdivision,Ludlow , Windsor County,15.9,2.2,13.7,30.4,,30.4
5000362875,county subdivision,Sandgate , Bennington County,15.7,13,2.8,16.7,16.7,
5001773075,county subdivision,Topsham , Orange County,15.5,5.6,9.9,24.4,12.7,11.7
5002105200,county subdivision,Benson , Rutland County,15.3,3.6,11.7,22.7,,22.7
5000569925,county subdivision,Stannard , Caledonia County,15.2,,15.2,36.2,,36.2
5002763775,county subdivision,Sharon , Windsor County,15.2,11.2,4,18.8,18.8,
5001159125,county subdivision,Richford , Franklin County,15.1,6.1,9,24.6,11.1,13.5
5001748175,county subdivision,Newbury , Orange County,15.1,2.1,13,28.3,2.4,25.9
5001916150,county subdivision,Coventry , Orleans County,15,3.8,11.3,28.1,,28.1
5001546675,county subdivision,Morris, Lamoille County,14.9,4.5,10.4,22.3,7.1,15.1
5001335875,county subdivision,Isle La Motte , Grand Isle County,14.8,4.8,10,45.5,18.2,27.3
5002536175,county subdivision,Jamaica , Windham County,14.8,10.7,4.1,28.2,26.1,2.1
5000562200,county subdivision,St. Johnsbury , Caledonia County,14.7,5,9.7,23.4,9.6,13.8
5001511500,county subdivision,Cambridge , Lamoille County,14.7,7.3,7.4,29.4,19,10.4
5001713525,county subdivision,Chelsea , Orange County,14.7,6.8,7.9,17.9,7.6,10.3
5002125375,county subdivision,Fair Haven , Rutland County,14.7,6,8.7,12.9,4.1,8.8
