"GEOID","NAME","poverty_rate","poverty_rate_150","gini","deep_poverty_rate","case_rate_per100k","population","vermont"
"28151","Washington County, Mississippi",0.333,0.472,0.5328,0.16,3748.6620055114,43909,"All Other States"
"28111","Perry County, Mississippi",0.187,0.369,0.4818,0.093,1937.69314290487,11973,"All Other States"
"28019","Choctaw County, Mississippi",0.233,0.322,0.4432,0.107,1619.97563946407,8210,"All Other States"
"28057","Itawamba County, Mississippi",0.154,0.309,0.4299,0.042,1530.56861906798,23390,"All Other States"
"28015","Carroll County, Mississippi",0.148,0.264,0.4489,0.055,2623.90670553936,9947,"All Other States"
"28043","Grenada County, Mississippi",0.245,0.347,0.4787,0.122,4061.0848829367,20758,"All Other States"
"28063","Jefferson County, Mississippi",0.497,0.624,0.4982,0.168,2789.69957081545,6990,"All Other States"
"28041","Greene County, Mississippi",0.145,0.217,0.4116,0.067,1773.88488149566,13586,"All Other States"
"28093","Marshall County, Mississippi",0.183,0.316,0.4503,0.089,1949.33983113277,35294,"All Other States"
"28119","Quitman County, Mississippi",0.355,0.553,0.469,0.179,3857.47938751472,6792,"All Other States"
"28011","Bolivar County, Mississippi",0.346,0.501,0.5149,0.183,3617.60480605981,30628,"All Other States"
"28073","Lamar County, Mississippi",0.165,0.247,0.4588,0.082,1897.60510237911,63343,"All Other States"
"28081","Lee County, Mississippi",0.159,0.266,0.4701,0.056,1671.42656491409,85436,"All Other States"
"28113","Pike County, Mississippi",0.338,0.467,0.5263,0.164,2362.04439014457,39288,"All Other States"
"28135","Tallahatchie County, Mississippi",0.306,0.466,0.5138,0.107,3838.07661669925,13809,"All Other States"
"28129","Smith County, Mississippi",0.169,0.301,0.4772,0.055,2538.32621261624,15916,"All Other States"
"28131","Stone County, Mississippi",0.171,0.306,0.4449,0.052,1058.02792321117,18336,"All Other States"
"28149","Warren County, Mississippi",0.206,0.331,0.4663,0.086,2399.6826865869,45381,"All Other States"
"28023","Clarke County, Mississippi",0.193,0.299,0.4762,0.12,2097.67711215495,15541,"All Other States"
"28069","Kemper County, Mississippi",0.3,0.47,0.4562,0.126,2381.44118250872,9742,"All Other States"
"28097","Montgomery County, Mississippi",0.273,0.379,0.5035,0.146,3283.88746803069,9775,"All Other States"
"28105","Oktibbeha County, Mississippi",0.3,0.431,0.5347,0.187,2254.62318752899,49587,"All Other States"
"28109","Pearl River County, Mississippi",0.161,0.262,0.4342,0.073,972.359773116053,55535,"All Other States"
"28079","Leake County, Mississippi",0.259,0.421,0.4705,0.144,3449.48652681471,22786,"All Other States"
"28103","Noxubee County, Mississippi",0.295,0.409,0.4659,0.125,4348.66084285303,10417,"All Other States"
"28099","Neshoba County, Mississippi",0.237,0.388,0.47,0.111,4413.07782127893,29118,"All Other States"
"28121","Rankin County, Mississippi",0.082,0.177,0.4076,0.041,1465.82426853695,155271,"All Other States"
"28137","Tate County, Mississippi",0.197,0.306,0.4373,0.08,2542.28311147205,28321,"All Other States"
"28077","Lawrence County, Mississippi",0.194,0.315,0.4495,0.108,2534.56221198157,12586,"All Other States"
"28107","Panola County, Mississippi",0.209,0.365,0.4598,0.051,3082.59241927936,34192,"All Other States"
"28161","Yalobusha County, Mississippi",0.162,0.308,0.4005,0.057,2585.06772381896,12108,"All Other States"
"28017","Chickasaw County, Mississippi",0.212,0.382,0.4621,0.099,2683.73969479039,17103,"All Other States"
"28029","Copiah County, Mississippi",0.24,0.356,0.4556,0.109,3384.99910921076,28065,"All Other States"
"28039","George County, Mississippi",0.146,0.268,0.4442,0.08,2281.63265306122,24500,"All Other States"
"28049","Hinds County, Mississippi",0.222,0.338,0.4732,0.099,2415.027605245,231840,"All Other States"
"28101","Newton County, Mississippi",0.261,0.378,0.5074,0.109,2578.7420306404,21018,"All Other States"
"28145","Union County, Mississippi",0.156,0.283,0.4214,0.048,2175.95002602811,28815,"All Other States"
"28125","Sharkey County, Mississippi",0.259,0.551,0.4779,0.06,4559.12983105763,4321,"All Other States"
"28139","Tippah County, Mississippi",0.197,0.331,0.4444,0.058,1635.24869407222,22015,"All Other States"
"28035","Forrest County, Mississippi",0.25,0.357,0.4891,0.108,2373.92685955379,74897,"All Other States"
"28045","Hancock County, Mississippi",0.179,0.267,0.4495,0.083,814.578434665771,47632,"All Other States"
"28071","Lafayette County, Mississippi",0.238,0.327,0.5105,0.154,1784.55728539958,54019,"All Other States"
"28055","Issaquena County, Mississippi",0.417,0.57,0.5841,0.216,1959.30670685757,1327,"All Other States"
"28087","Lowndes County, Mississippi",0.221,0.316,0.4665,0.098,1832.92089768752,58595,"All Other States"
"28083","Leflore County, Mississippi",0.392,0.543,0.5765,0.248,3282.12042720789,28183,"All Other States"
"28157","Wilkinson County, Mississippi",0.328,0.525,0.4697,0.175,2375.43453070684,8630,"All Other States"
"28047","Harrison County, Mississippi",0.201,0.317,0.4581,0.105,1200.49980776624,208080,"All Other States"
"28065","Jefferson Davis County, Mississippi",0.27,0.425,0.5017,0.111,2075.84471603163,11128,"All Other States"
"28085","Lincoln County, Mississippi",0.22,0.324,0.4756,0.101,2368.75237900038,34153,"All Other States"
"28123","Scott County, Mississippi",0.29,0.441,0.5323,0.119,3548.57061584412,28124,"All Other States"
"28159","Winston County, Mississippi",0.23,0.371,0.5283,0.088,3453.07713728766,17955,"All Other States"
"28163","Yazoo County, Mississippi",0.325,0.476,0.5377,0.159,2792.18592118558,29690,"All Other States"
"28009","Benton County, Mississippi",0.234,0.331,0.4742,0.081,1731.44448480446,8259,"All Other States"
"28037","Franklin County, Mississippi",0.165,0.334,0.4643,0.067,1607.67535329962,7713,"All Other States"
"28061","Jasper County, Mississippi",0.232,0.38,0.4846,0.078,2362.20472440945,16383,"All Other States"
"28067","Jones County, Mississippi",0.214,0.343,0.4783,0.099,2768.06954682957,68098,"All Other States"
"28095","Monroe County, Mississippi",0.18,0.312,0.4685,0.074,2206.96698059685,35252,"All Other States"
"28133","Sunflower County, Mississippi",0.315,0.46,0.5042,0.13,4078.05655117483,25110,"All Other States"
"28155","Webster County, Mississippi",0.255,0.339,0.4588,0.109,2353.184023119,9689,"All Other States"
"28001","Adams County, Mississippi",0.343,0.478,0.5368,0.169,2010.23034568143,30693,"All Other States"
"28025","Clay County, Mississippi",0.233,0.381,0.4919,0.099,2039.7597846345,19316,"All Other States"
"28031","Covington County, Mississippi",0.244,0.376,0.4355,0.109,3283.96651641983,18636,"All Other States"
"28053","Humphreys County, Mississippi",0.381,0.568,0.5034,0.157,3608.63095238095,8064,"All Other States"
