"geoid","geography","name","short_name","latitude","longitude","poverty_rate_total","poverty_rate_race_white","poverty_rate_race_black","poverty_rate_race_nhpi_amind","poverty_rate_race_asian","poverty_rate_race_other","poverty_rate_race_twoplus","poverty_rate_race_hispanic"
"1","us","United States","United States",NA,NA,13.1,9.5,22.5,22.4,10.8,20.1,15.9,18.8
"01","state","Alabama","Alabama",NA,NA,16.8,12.2,28.4,16.8,12.9,36.1,23.4,32.2
"02","state","Alaska","Alaska",NA,NA,10.9,7,17.3,23.4,12.7,11.4,12.2,11.1
"04","state","Arizona","Arizona",NA,NA,14,10.5,21.7,34.1,13,25,17.6,23.3
"05","state","Arkansas","Arkansas",NA,NA,17.2,13.8,30.5,25.9,14.2,28,23.7,27.5
"06","state","California","California",NA,NA,12.8,9.5,21.9,18.1,10.7,20.3,13.4,19.2
"08","state","Colorado","Colorado",NA,NA,9.6,8.2,18.7,19.6,11.4,18,14.3,17.6
"09","state","Connecticut","Connecticut",NA,NA,10.4,5.9,18.5,18,7.8,26.2,16.3,22.7
"10","state","Delaware","Delaware",NA,NA,12.5,7.9,18.9,20.7,9.5,24.2,21.1,21.3
"11","state","District of Columbia","District of Columbia",NA,NA,16.2,6.3,25.7,23.4,14.2,18,10.5,14.1
"12","state","Florida","Florida",NA,NA,13.6,10.5,23.5,19.1,12.5,20.8,16.7,18.9
"13","state","Georgia","Georgia",NA,NA,14.3,10.6,23.1,25.8,10.7,27.7,19.4,24.9
"15","state","Hawaii","Hawaii",NA,NA,8.8,9.2,11.2,21.9,6.4,9.7,10.7,14
"16","state","Idaho","Idaho",NA,NA,11.8,12.1,32.1,25.4,15.8,20.8,20.4,21.8
"17","state","Illinois","Illinois",NA,NA,12.1,8.8,27.4,15.5,11.4,18.3,16.8,17.1
"18","state","Indiana","Indiana",NA,NA,13.1,11.2,28.6,18.5,19.8,27,23.9,24.5
"19","state","Iowa","Iowa",NA,NA,11.2,9.7,33.3,25.6,17,21.8,23,21.8
"20","state","Kansas","Kansas",NA,NA,12,9.8,24.6,20.4,14.6,21.2,20.5,20.8
"21","state","Kentucky","Kentucky",NA,NA,16.9,16.3,29.2,26.6,16.6,32.6,26,28.8
"22","state","Louisiana","Louisiana",NA,NA,18.6,12.2,32.3,23.7,15.2,26.3,22.4,22.6
"23","state","Maine","Maine",NA,NA,11.6,11.6,36.6,34.6,11.3,13.3,25.1,20.8
"24","state","Maryland","Maryland",NA,NA,9,6.4,13.6,12.7,7.2,14.8,11.3,13.5
"25","state","Massachusetts","Massachusetts",NA,NA,10,7.1,19.7,21.1,13.8,26.8,17.5,26.6
"26","state","Michigan","Michigan",NA,NA,14.1,11.4,30.1,22.2,14.3,23.1,24.7,22.7
"27","state","Minnesota","Minnesota",NA,NA,9.6,7.2,30.4,30.9,14.5,21.8,17.2,20
"28","state","Mississippi","Mississippi",NA,NA,19.7,12.6,32.7,31,13.7,27.6,26.4,25.9
"29","state","Missouri","Missouri",NA,NA,13.2,11.7,26.1,22.5,14.7,28.8,21.5,23.3
"30","state","Montana","Montana",NA,NA,13,11.8,21.1,33.9,17.8,14.3,18.5,19.2
"31","state","Nebraska","Nebraska",NA,NA,11,8.7,27.1,30.4,18.2,21,19.6,21.6
"32","state","Nevada","Nevada",NA,NA,12.9,9.7,24.5,23.4,9.2,19.9,14.9,18
"33","state","New Hampshire","New Hampshire",NA,NA,7.6,7.2,19.8,13.1,10.1,12.6,12.6,17.8
"34","state","New Jersey","New Jersey",NA,NA,9.5,6.1,18.2,20.3,6.9,22.2,14.1,19
"35","state","New Mexico","New Mexico",NA,NA,19.5,12.2,23.4,32.9,9.7,27.9,20.1,23.9
"36","state","New York","New York",NA,NA,13.6,9.6,21.6,23.3,16.1,27,19.8,23.6
"37","state","North Carolina","North Carolina",NA,NA,14,10.6,23.5,24.8,11.9,29.5,21.5,28.5
"38","state","North Dakota","North Dakota",NA,NA,10.7,8.3,26.4,35.1,19.8,13.5,19.4,18.4
"39","state","Ohio","Ohio",NA,NA,13.9,11.1,31.2,26.9,14,27,26.9,25.9
"40","state","Oklahoma","Oklahoma",NA,NA,15.6,12.4,28.1,21.1,15.3,25.5,20.4,24.9
"41","state","Oregon","Oregon",NA,NA,12.6,12,28.7,23.9,14.6,21,19.3,22.3
"42","state","Pennsylvania","Pennsylvania",NA,NA,12.2,9.1,26.9,25.9,14.3,32.5,23.2,29.4
"44","state","Rhode Island","Rhode Island",NA,NA,12.9,9,21.5,32.3,15.9,26.7,23.5,27.1
"45","state","South Carolina","South Carolina",NA,NA,15.3,10.7,25.7,24.3,13.5,32.7,25.3,28
"46","state","South Dakota","South Dakota",NA,NA,13.1,8.9,27.1,49.8,19.8,21.5,23.3,23.3
"47","state","Tennessee","Tennessee",NA,NA,15.3,12.9,26.4,23,10.9,32.5,22.9,28.4
"48","state","Texas","Texas",NA,NA,14.9,8.7,20.3,17.6,10.5,22.3,15.3,22.1
"49","state","Utah","Utah",NA,NA,9,8.3,24.9,21.4,14.3,20.6,12.7,18.6
"50","state","Vermont","Vermont",NA,NA,11,10.7,23.8,16.8,15.4,12.7,20.1,16.2
"51","state","Virginia","Virginia",NA,NA,10.7,8.4,18.6,12.5,7.4,17,12.9,14.7
"53","state","Washington","Washington",NA,NA,10.3,9.3,21.5,21.9,10.1,21,14.4,19.6
"54","state","West Virginia","West Virginia",NA,NA,17.8,17,29.6,18.2,18.2,37.7,26.8,23
"55","state","Wisconsin","Wisconsin",NA,NA,11,8.9,32.9,25.8,17.6,25.7,21.9,22.8
"56","state","Wyoming","Wyoming",NA,NA,11.1,9.6,12.4,23.6,18.5,23.5,13.4,21.2
