"geoid","geography","name","short_name","latitude","longitude","poverty_rate_total","poverty_rate_deep","poverty_rate_race_white","poverty_rate_race_black","poverty_rate_race_nhpi_amind","poverty_rate_race_asian","poverty_rate_race_other","poverty_rate_race_twoplus","poverty_rate_race_hispanic","child_poverty_rate_total","child_poverty_rate_deep","child_poverty_family_married_couple","child_poverty_family_unmarried_male","child_poverty_family_unmarried_female"
"01","state","Alabama","Alabama",NA,NA,16.8,7.6,12.2,28.4,16.8,12.9,36.1,23.4,32.2,25.1,11.6,10.2,27.7,54.2
"02","state","Alaska","Alaska",NA,NA,10.9,5.2,7,17.3,23.4,12.7,11.4,12.2,11.1,15.2,6.3,7.2,24.4,36.6
"04","state","Arizona","Arizona",NA,NA,14,6.3,10.5,21.7,34.1,13,25,17.6,23.3,22.8,10.2,13,26,44.6
"05","state","Arkansas","Arkansas",NA,NA,17.2,6.7,13.8,30.5,25.9,14.2,28,23.7,27.5,24.7,10.3,12.3,26,50.8
"06","state","California","California",NA,NA,12.8,5.9,9.5,21.9,18.1,10.7,20.3,13.4,19.2,19.5,8,11.3,23.1,41.9
"08","state","Colorado","Colorado",NA,NA,9.6,4.6,8.2,18.7,19.6,11.4,18,14.3,17.6,13.5,5.7,7,14.3,36.5
"09","state","Connecticut","Connecticut",NA,NA,10.4,4.5,5.9,18.5,18,7.8,26.2,16.3,22.7,13.5,6.3,4.5,17.7,35.2
"10","state","Delaware","Delaware",NA,NA,12.5,5.4,7.9,18.9,20.7,9.5,24.2,21.1,21.3,17.6,7,7.2,19.5,38.9
"11","state","District of Columbia","District of Columbia",NA,NA,16.2,9.7,6.3,25.7,23.4,14.2,18,10.5,14.1,24.8,13.6,4.6,24.1,46
"12","state","Florida","Florida",NA,NA,13.6,5.9,10.5,23.5,19.1,12.5,20.8,16.7,18.9,21.3,9.1,10.6,24,42.3
"13","state","Georgia","Georgia",NA,NA,14.3,6.5,10.6,23.1,25.8,10.7,27.7,19.4,24.9,22.9,10.2,10.5,26.8,47.3
"15","state","Hawaii","Hawaii",NA,NA,8.8,4.4,9.2,11.2,21.9,6.4,9.7,10.7,14,12.5,5.9,5.9,13.2,32.9
"16","state","Idaho","Idaho",NA,NA,11.8,4.8,12.1,32.1,25.4,15.8,20.8,20.4,21.8,16.9,6.3,9.3,19.8,47.3
"17","state","Illinois","Illinois",NA,NA,12.1,5.6,8.8,27.4,15.5,11.4,18.3,16.8,17.1,18.1,7.9,7.7,21.6,43.9
"18","state","Indiana","Indiana",NA,NA,13.1,6.1,11.2,28.6,18.5,19.8,27,23.9,24.5,19.8,8.8,8.6,22.1,46.7
"19","state","Iowa","Iowa",NA,NA,11.2,5.1,9.7,33.3,25.6,17,21.8,23,21.8,14.2,6.1,5.9,17,39.8
"20","state","Kansas","Kansas",NA,NA,12,5.1,9.8,24.6,20.4,14.6,21.2,20.5,20.8,15.6,6.5,7.1,20,41.4
"21","state","Kentucky","Kentucky",NA,NA,16.9,7.5,16.3,29.2,26.6,16.6,32.6,26,28.8,24.4,11.4,12.5,29.8,51.7
"22","state","Louisiana","Louisiana",NA,NA,18.6,8.1,12.2,32.3,23.7,15.2,26.3,22.4,22.6,27.4,13.2,9.7,27.6,55.5
"23","state","Maine","Maine",NA,NA,11.6,4.6,11.6,36.6,34.6,11.3,13.3,25.1,20.8,16.3,7.2,6.5,24.5,41.1
"24","state","Maryland","Maryland",NA,NA,9,4.4,6.4,13.6,12.7,7.2,14.8,11.3,13.5,12.4,6,4.3,16.4,31.3
"25","state","Massachusetts","Massachusetts",NA,NA,10,4.6,7.1,19.7,21.1,13.8,26.8,17.5,26.6,13.9,6.7,4.5,16.9,38.5
"26","state","Michigan","Michigan",NA,NA,14.1,6.5,11.4,30.1,22.2,14.3,23.1,24.7,22.7,20.8,9.5,9.5,25.3,47.3
"27","state","Minnesota","Minnesota",NA,NA,9.6,4.2,7.2,30.4,30.9,14.5,21.8,17.2,20,12.9,5.4,5.8,14.8,36.4
"28","state","Mississippi","Mississippi",NA,NA,19.7,9.2,12.6,32.7,31,13.7,27.6,26.4,25.9,29.2,14.7,11.1,29.5,56.1
"29","state","Missouri","Missouri",NA,NA,13.2,5.7,11.7,26.1,22.5,14.7,28.8,21.5,23.3,19.5,8.5,8.9,23.2,44.9
"30","state","Montana","Montana",NA,NA,13,5.4,11.8,21.1,33.9,17.8,14.3,18.5,19.2,16.4,7.5,8.5,22.8,42.7
"31","state","Nebraska","Nebraska",NA,NA,11,4.5,8.7,27.1,30.4,18.2,21,19.6,21.6,14.8,6,6.6,19.4,39.6
"32","state","Nevada","Nevada",NA,NA,12.9,5.8,9.7,24.5,23.4,9.2,19.9,14.9,18,19.1,8.3,9.8,20.5,39.6
"33","state","New Hampshire","New Hampshire",NA,NA,7.6,3.8,7.2,19.8,13.1,10.1,12.6,12.6,17.8,10.2,4.6,3.2,13.7,32.7
"34","state","New Jersey","New Jersey",NA,NA,9.5,4.3,6.1,18.2,20.3,6.9,22.2,14.1,19,14.8,6.4,6.6,20.7,37.8
"35","state","New Mexico","New Mexico",NA,NA,19.5,9.1,12.2,23.4,32.9,9.7,27.9,20.1,23.9,28.1,13,16.1,29.6,51.1
"36","state","New York","New York",NA,NA,13.6,6.2,9.6,21.6,23.3,16.1,27,19.8,23.6,20.6,9.4,11.1,22,42.3
"37","state","North Carolina","North Carolina",NA,NA,14,6.2,10.6,23.5,24.8,11.9,29.5,21.5,28.5,22,9.6,10.1,28.7,47.4
"38","state","North Dakota","North Dakota",NA,NA,10.7,5.4,8.3,26.4,35.1,19.8,13.5,19.4,18.4,12.2,6.3,3.7,21.4,38.9
"39","state","Ohio","Ohio",NA,NA,13.9,6.1,11.1,31.2,26.9,14,27,26.9,25.9,20.8,9.8,7.9,24,48.5
"40","state","Oklahoma","Oklahoma",NA,NA,15.6,6.9,12.4,28.1,21.1,15.3,25.5,20.4,24.9,22,9.6,10.7,25.9,48.9
"41","state","Oregon","Oregon",NA,NA,12.6,5.6,12,28.7,23.9,14.6,21,19.3,22.3,18,7.5,9.4,22.1,41.9
"42","state","Pennsylvania","Pennsylvania",NA,NA,12.2,5.6,9.1,26.9,25.9,14.3,32.5,23.2,29.4,18.1,8.3,7.1,22.9,43.6
"44","state","Rhode Island","Rhode Island",NA,NA,12.9,5.6,9,21.5,32.3,15.9,26.7,23.5,27.1,18.2,7.5,6.8,19.6,41.6
"45","state","South Carolina","South Carolina",NA,NA,15.3,6.8,10.7,25.7,24.3,13.5,32.7,25.3,28,23.7,10.9,9.7,26.5,49.4
"46","state","South Dakota","South Dakota",NA,NA,13.1,6,8.9,27.1,49.8,19.8,21.5,23.3,23.3,17.8,8.4,6.7,24.4,47.3
"47","state","Tennessee","Tennessee",NA,NA,15.3,6.6,12.9,26.4,23,10.9,32.5,22.9,28.4,23.3,10.5,11.1,27.6,49.8
"48","state","Texas","Texas",NA,NA,14.9,6.5,8.7,20.3,17.6,10.5,22.3,15.3,22.1,22,9.4,12.2,23.1,46.6
"49","state","Utah","Utah",NA,NA,9,4.2,8.3,24.9,21.4,14.3,20.6,12.7,18.6,11.5,4.6,6.4,17.2,39.3
"50","state","Vermont","Vermont",NA,NA,11,4.7,10.7,23.8,16.8,15.4,12.7,20.1,16.2,14.1,6.3,5.5,14.3,39.4
"51","state","Virginia","Virginia",NA,NA,10.7,5.1,8.4,18.6,12.5,7.4,17,12.9,14.7,14.5,6.9,5.5,17.4,39.7
"53","state","Washington","Washington",NA,NA,10.3,4.7,9.3,21.5,21.9,10.1,21,14.4,19.6,14.6,6.4,6.9,19.1,38.5
"54","state","West Virginia","West Virginia",NA,NA,17.8,7.6,17,29.6,18.2,18.2,37.7,26.8,23,24.2,11.2,12.1,30,53.2
"55","state","Wisconsin","Wisconsin",NA,NA,11,4.8,8.9,32.9,25.8,17.6,25.7,21.9,22.8,15.9,6.5,6.4,20.1,41.2
"56","state","Wyoming","Wyoming",NA,NA,11.1,5.1,9.6,12.4,23.6,18.5,23.5,13.4,21.2,12.8,5.4,6.3,13,37.9
"72","state","Puerto Rico","Puerto Rico",NA,NA,43.1,23.2,35.5,45.7,46.8,49.7,51.8,43.1,44.6,57.4,37.1,36.8,63.3,75.3
