"geoid","geography","name","short_name","latitude","longitude","poverty_belowe","poverty_level_050e","poverty_rate_total","poverty_rate_deep","poverty_rate_race_white","poverty_rate_race_black","poverty_rate_race_nhpi_amind","poverty_rate_race_asian","poverty_rate_race_other","poverty_rate_race_twoplus","poverty_rate_race_hispanic","child_poverty_rate_total","child_poverty_rate_deep","child_poverty_family_married_couple","child_poverty_family_unmarried_male","child_poverty_family_unmarried_female","pct_in_poverty_in_deep_poverty","1"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,47,7,3.3,0.5,3.4,NA,NA,NA,NA,0,0,0,0,0,0,0,15,1
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,124,40,9.4,3,10.1,0,NA,0,NA,0,0,12.3,7.5,2.5,11.5,79.3,32,1
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,314,246,8.1,6.4,8.2,0,100,0,NA,NA,36.1,10.2,8.4,9.5,NA,12.2,78,1
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,29,17,2.9,1.7,2.8,0,0,0,0,0,23.1,0,0,0,NA,0,59,1
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,81,17,3,0.6,3,NA,0,NA,NA,0,0,0,0,0,NA,0,21,1
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,7,0,5.2,0,5.3,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,1
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,48,28,13.6,8,14.4,NA,0,0,NA,0,0,18.1,12.5,19.4,0,50,58,1
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,35,16,10.8,5,11.8,NA,0,0,0,0,0,17,11.3,0,0,47.4,46,1
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,98,44,8.3,3.7,8.6,0,0,NA,NA,0,0,17.9,10.7,7.8,30,42.9,45,1
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,124,41,9.1,3,9.5,NA,NA,0,NA,0,0,4.5,2.6,1,0,7.5,33,1
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,606,258,10.3,4.4,11,3.2,100,0,0,24.2,0,10.8,4.7,0,0,42.8,43,1
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,33,16,1.7,0.8,1.8,NA,NA,0,NA,0,0,0.7,0,0,5.9,0,48,1
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,79,45,4.7,2.7,4.8,NA,NA,0,NA,0,0,8.2,6.3,2.5,0,26.2,57,1
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,96,46,7.3,3.5,7.5,0,NA,0,0,NA,0,8.7,2.4,7.6,0,9.4,48,1
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,19,13,2.9,2,2.6,NA,100,0,NA,0,NA,0,0,0,0,0,68,1
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,69,9,12.7,1.7,12,NA,0,NA,NA,100,0,8.9,0,0,NA,25.7,13,1
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,87,48,8.2,4.5,8.2,0,100,0,NA,0,22.2,5.4,5.4,0,0,0,55,1
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,108,66,10.1,6.2,10.1,0,0,0,57.1,0,17,15,9.3,13.6,0,0,61,1
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,239,135,12.2,6.9,11.9,0,0,0,0,56.2,0,19.5,14.2,13.2,0,32.5,56,1
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,253,123,9.9,4.8,9.3,100,NA,NA,NA,NA,33.3,11.8,9.4,1.7,0,32.7,49,1
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,32,13,7.1,2.9,4.4,0,NA,NA,NA,NA,65,9.7,9.7,0,0,100,41,1
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,40,30,4.6,3.5,4.9,0,0,0,NA,0,0,0,0,0,NA,0,75,1
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,63,18,18.3,5.2,18.8,NA,0,0,NA,0,0,42.2,8.9,14.6,96,33.3,29,1
"50001","county","Addison County, Vermont","Addison County",44.031248,-73.141581,2631,1276,7.7,3.8,7.8,2.7,16.2,0,10.5,11.5,10.6,9,5.4,3.6,10.2,25.8,48,1
