"short_name","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic"
"United States",60.2,12.3,0.8,5.6,0.3,2.4,18.3
"Chittenden",88.8,2.5,0.2,4.2,0.2,1.8,2.3
"Vermont",92.6,1.2,0.3,1.9,0.2,1.9,2
"Addison",92.7,1.2,0.3,1.9,0.1,1.5,2.3
"Grand Isle",92.9,0.8,0.4,0.5,0.1,3.3,1.9
"Windham",93.2,1.1,0.2,1.1,0,2,2.3
"Franklin",93.9,0.6,0.5,0.4,0.5,2.6,1.5
"Washington",94.3,0.8,0.3,0.8,0.1,1.9,1.9
"Bennington",94.4,0.4,0.2,1.1,0.1,1.9,1.9
"Lamoille",94.7,0.9,0.8,0.6,0,1.2,1.8
"Windsor",94.7,0.7,0.2,0.8,0.2,1.8,1.6
"Caledonia",94.9,0.9,0.2,0.6,0.1,1.7,1.6
"Orleans",95.3,0.4,0.5,0.2,0.1,2,1.4
"Essex",95.4,1,0.3,0.6,0.1,1.3,1.3
"Rutland",95.4,0.8,0.4,1,0.1,0.8,1.4
"Orange",95.5,0.6,0.4,0.2,0.2,1.6,1.4
