"geoid","geography","name","short_name","latitude","longitude","race_white","race_asian","race_black","race_hispanic","race_nhpi_amind","race_other","race_twoplus"
"1","us","United States","United States",NA,NA,60.2,5.6,12.3,18.3,0.8,0.3,2.4
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,-73.070525,88.8,4.2,2.5,2.3,0.2,0.2,1.8
"50","state_vt","Vermont","Vermont",NA,NA,92.6,1.9,1.2,2,0.3,0.2,1.9
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,92.7,1.9,1.2,2.3,0.3,0.1,1.5
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,92.9,0.5,0.8,1.9,0.4,0.1,3.3
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,93.2,1.1,1.1,2.3,0.2,0,2
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,93.9,0.4,0.6,1.5,0.5,0.5,2.6
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,94.3,0.8,0.8,1.9,0.3,0.1,1.9
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,94.4,1.1,0.4,1.9,0.2,0.1,1.9
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,94.7,0.6,0.9,1.8,0.8,0,1.2
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,94.7,0.8,0.7,1.6,0.2,0.2,1.8
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,94.9,0.6,0.9,1.6,0.2,0.1,1.7
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,95.3,0.2,0.4,1.4,0.5,0.1,2
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,95.4,0.6,1,1.3,0.3,0.1,1.3
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,95.4,1,0.8,1.4,0.4,0.1,0.8
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,95.5,0.2,0.6,1.4,0.4,0.2,1.6
