town,Non-Hispanic White,Black,NHPI,Asian,Other,Two or More,Hispanic
Addison,92.9,3.2,0,0.7,0,1.6,1.6
Bridport,95,2.1,0,2,0,0,0.9
Bristol,92.6,0.6,0.8,0.9,0,3.8,1.3
Cornwall,97.6,0,0,0,0,1.1,1.3
Ferrisburgh,97.8,0,0,0,0,2.2,0
Goshen,94.9,0,0.9,1.4,0,1.4,1.4
Granville,91.6,0,0,0.9,4.6,1.9,0.9
Hancock,96.7,0.4,0.5,0,0,0.9,1.5
Leicester,96,0,0,0.7,0,3.1,0.2
Lincoln,83.8,3,0.1,5.7,0,2.5,4.8
Middlebury,96.2,0,0,0.6,0,2.4,0.8
Monkton,97.2,0,0,1.4,0,1.1,0.4
New Haven,96.9,0.3,0,1.2,1.3,0,0.3
Orwell,98.5,0,0.3,0.3,0,0.9,0
Panton,90.3,0,3.5,0,0,1.8,4.4
Ripton,96,0.4,0.7,0.9,0,1.1,0.8
Salisbury,85,0.7,2.5,1,0,2,8.8
Shoreham,93.9,0.4,0,1.1,1.1,1.8,1.7
Starksboro,98.1,0.2,0,0,0,0,1.7
Vergennes,94.9,0.7,0,0,0,0,4.4
Waltham,93.5,0.6,2.2,0.8,0,1.5,1.4
Weybridge,97.4,0,0.6,0.9,0,0.6,0.6
Whiting,92.7,1.2,0.3,1.9,0.1,1.5,2.3
