cty,name,kfr_rA_gP_pall,kfr_rA_gP_pall_l,kfr_rA_gP_p100,kfr_rA_gP_p100_l,kfr_rA_gP_p75,kfr_rA_gP_p75_l,kfr_rA_gP_p25,kfr_rA_gP_p25_l,kfr_rA_gP_p1,kfr_rA_gP_p1_l,kfr_rA_gP_p50,kfr_rA_gP_p50_l,kfr_rA_gF_pall,kfr_rA_gF_pall_l,kfr_rA_gF_p100,kfr_rA_gF_p100_l,kfr_rA_gF_p75,kfr_rA_gF_p75_l,kfr_rA_gF_p25,kfr_rA_gF_p25_l,kfr_rA_gF_p1,kfr_rA_gF_p1_l,kfr_rA_gF_p50,kfr_rA_gF_p50_l,kfr_rA_gM_pall,kfr_rA_gM_pall_l,kfr_rA_gM_p100,kfr_rA_gM_p100_l,kfr_rA_gM_p75,kfr_rA_gM_p75_l,kfr_rA_gM_p25,kfr_rA_gM_p25_l,kfr_rA_gM_p1,kfr_rA_gM_p1_l,kfr_rA_gM_p50,kfr_rA_gM_p50_l,kfr_rP_gP_pall,kfr_rP_gP_pall_l,kfr_rP_gP_p100,kfr_rP_gP_p100_l,kfr_rP_gP_p75,kfr_rP_gP_p75_l,kfr_rP_gP_p25,kfr_rP_gP_p25_l,kfr_rP_gP_p1,kfr_rP_gP_p1_l,kfr_rP_gP_p50,kfr_rP_gP_p50_l,kfr_rP_gF_pall,kfr_rP_gF_pall_l,kfr_rP_gF_p100,kfr_rP_gF_p100_l,kfr_rP_gF_p75,kfr_rP_gF_p75_l,kfr_rP_gF_p25,kfr_rP_gF_p25_l,kfr_rP_gF_p1,kfr_rP_gF_p1_l,kfr_rP_gF_p50,kfr_rP_gF_p50_l,kfr_rP_gM_pall,kfr_rP_gM_pall_l,kfr_rP_gM_p100,kfr_rP_gM_p100_l,kfr_rP_gM_p75,kfr_rP_gM_p75_l,kfr_rP_gM_p25,kfr_rP_gM_p25_l,kfr_rP_gM_p1,kfr_rP_gM_p1_l,kfr_rP_gM_p50,kfr_rP_gM_p50_l,kfr_rB_gP_pall,kfr_rB_gP_pall_l,kfr_rB_gP_p100,kfr_rB_gP_p100_l,kfr_rB_gP_p75,kfr_rB_gP_p75_l,kfr_rB_gP_p25,kfr_rB_gP_p25_l,kfr_rB_gP_p1,kfr_rB_gP_p1_l,kfr_rB_gP_p50,kfr_rB_gP_p50_l,kfr_rB_gF_pall,kfr_rB_gF_pall_l,kfr_rB_gF_p100,kfr_rB_gF_p100_l,kfr_rB_gF_p75,kfr_rB_gF_p75_l,kfr_rB_gF_p25,kfr_rB_gF_p25_l,kfr_rB_gF_p1,kfr_rB_gF_p1_l,kfr_rB_gF_p50,kfr_rB_gF_p50_l,kfr_rB_gM_pall,kfr_rB_gM_pall_l,kfr_rB_gM_p100,kfr_rB_gM_p100_l,kfr_rB_gM_p75,kfr_rB_gM_p75_l,kfr_rB_gM_p25,kfr_rB_gM_p25_l,kfr_rB_gM_p1,kfr_rB_gM_p1_l,kfr_rB_gM_p50,kfr_rB_gM_p50_l,kfr_rW_gP_pall,kfr_rW_gP_pall_l,kfr_rW_gP_p100,kfr_rW_gP_p100_l,kfr_rW_gP_p75,kfr_rW_gP_p75_l,kfr_rW_gP_p25,kfr_rW_gP_p25_l,kfr_rW_gP_p1,kfr_rW_gP_p1_l,kfr_rW_gP_p50,kfr_rW_gP_p50_l,kfr_rW_gF_pall,kfr_rW_gF_pall_l,kfr_rW_gF_p100,kfr_rW_gF_p100_l,kfr_rW_gF_p75,kfr_rW_gF_p75_l,kfr_rW_gF_p25,kfr_rW_gF_p25_l,kfr_rW_gF_p1,kfr_rW_gF_p1_l,kfr_rW_gF_p50,kfr_rW_gF_p50_l,kfr_rW_gM_pall,kfr_rW_gM_pall_l,kfr_rW_gM_p100,kfr_rW_gM_p100_l,kfr_rW_gM_p75,kfr_rW_gM_p75_l,kfr_rW_gM_p25,kfr_rW_gM_p25_l,kfr_rW_gM_p1,kfr_rW_gM_p1_l,kfr_rW_gM_p50,kfr_rW_gM_p50_l,kfr_rH_gP_pall,kfr_rH_gP_pall_l,kfr_rH_gP_p100,kfr_rH_gP_p100_l,kfr_rH_gP_p75,kfr_rH_gP_p75_l,kfr_rH_gP_p25,kfr_rH_gP_p25_l,kfr_rH_gP_p1,kfr_rH_gP_p1_l,kfr_rH_gP_p50,kfr_rH_gP_p50_l,kfr_rH_gF_pall,kfr_rH_gF_pall_l,kfr_rH_gF_p100,kfr_rH_gF_p100_l,kfr_rH_gF_p75,kfr_rH_gF_p75_l,kfr_rH_gF_p25,kfr_rH_gF_p25_l,kfr_rH_gF_p1,kfr_rH_gF_p1_l,kfr_rH_gF_p50,kfr_rH_gF_p50_l,kfr_rH_gM_pall,kfr_rH_gM_pall_l,kfr_rH_gM_p100,kfr_rH_gM_p100_l,kfr_rH_gM_p75,kfr_rH_gM_p75_l,kfr_rH_gM_p25,kfr_rH_gM_p25_l,kfr_rH_gM_p1,kfr_rH_gM_p1_l,kfr_rH_gM_p50,kfr_rH_gM_p50_l,kfr_rNA_gP_pall,kfr_rNA_gP_pall_l,kfr_rNA_gP_p100,kfr_rNA_gP_p100_l,kfr_rNA_gP_p75,kfr_rNA_gP_p75_l,kfr_rNA_gP_p25,kfr_rNA_gP_p25_l,kfr_rNA_gP_p1,kfr_rNA_gP_p1_l,kfr_rNA_gP_p50,kfr_rNA_gP_p50_l,kfr_rNA_gF_pall,kfr_rNA_gF_pall_l,kfr_rNA_gF_p100,kfr_rNA_gF_p100_l,kfr_rNA_gF_p75,kfr_rNA_gF_p75_l,kfr_rNA_gF_p25,kfr_rNA_gF_p25_l,kfr_rNA_gF_p1,kfr_rNA_gF_p1_l,kfr_rNA_gF_p50,kfr_rNA_gF_p50_l,kfr_rNA_gM_pall,kfr_rNA_gM_pall_l,kfr_rNA_gM_p100,kfr_rNA_gM_p100_l,kfr_rNA_gM_p75,kfr_rNA_gM_p75_l,kfr_rNA_gM_p25,kfr_rNA_gM_p25_l,kfr_rNA_gM_p1,kfr_rNA_gM_p1_l,kfr_rNA_gM_p50,kfr_rNA_gM_p50_l
cty50001,"Addison County, VT",,45202,,20413,,40668,,61825,,83960,,51048,,,,,,,,,,,,,,,,,,,,,,,,,47540,48227,73671,62626,54343,53491,35952,39367,27452,33075,44659,46216,49473,48775,76940,63141,56652,54026,37570,40141,29219,34325,46428,46699,45890,47649,70646,62099,52528,52949,34916,38596,26419,31824,43414,45746,,20201,,25050,,22071,,19046,,17278,,20531,,,,,,,,,,,,,,,,,,,,,,,,,48679,48929,75916,62835,55286,54048,37088,40128,27724,33163,45278,46916,50347,49437,79705,62619,57585,54310,38315,41115,28869,34853,46791,47370,47224,48429,72359,63065,53502,53793,36535,39110,27434,31397,44369,46485,42338,44464,72263,66165,49357,51524,33917,38502,25139,28905,40878,44749,,59027,,142664,,78204,,45556,,27918,,59651,,27801,,28317,,27669,,26888,,26141,,27301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50003,"Bennington County, VT",72769,44054,71030,35825,74982,41488,77546,46391,79224,50504,76497,44061,,,,,,,,,,,,,,,,,,,,,,,,,45023,43256,70092,64466,52053,51548,34698,32807,26520,24428,42974,41796,45823,44286,78689,67125,54926,52926,33517,33013,24021,24741,43405,42245,44265,42319,62942,61995,49553,50262,35769,32617,28925,24174,42529,41358,,39484,,46521,,41278,,36318,,33485,,38721,,35444,,24685,,32500,,40288,,44929,,36392,,43583,,83087,,54163,,32004,,20049,,42114,45220,43930,71490,64608,52214,52044,35066,33397,26011,24040,42849,42371,45750,45105,81155,68397,55023,53994,33355,33299,22497,23655,42845,42862,44720,42897,64094,61226,49935,50278,36518,33435,29069,24395,42820,41883,56172,32536,67926,51727,60255,39728,53937,28330,50156,19072,56890,33945,,29334,,46815,,36184,,26328,,18911,,31048,,36833,,54091,,42968,,31650,,21661,,37432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50005,"Caledonia County, VT",,48864,,30797,,43277,,55314,,66566,,49407,,,,,,,,,,,,,,,,,,,,,,,,,44481,44933,73609,61129,54103,52134,35585,38210,27013,31957,44353,44975,44531,45083,77277,64359,55116,53352,34795,37135,25810,30394,44209,44729,44468,44776,69827,58086,53005,50888,36391,39182,28394,33522,44429,45077,,37211,,37269,,37839,,38425,,38777,,38136,,,,,,,,,,,,,,,,,,,,,,,,,45609,45373,78707,61403,55959,52501,36314,38456,26278,31375,45104,45309,45539,45466,83382,64287,57137,53624,35280,37397,24561,29787,44806,45002,45684,45290,73921,58625,54660,51355,37365,39433,28171,32993,45330,45495,37693,45063,59223,49000,44803,46102,34118,43039,27792,40525,39048,44572,,,,,,,,,,,,,,47660,,134736,,72340,,35607,,10411,,52396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50007,"Chittenden County, VT",53847,54181,92058,70981,59386,57035,44467,47633,36534,41253,50082,51818,52888,52471,70469,66096,56121,55174,48075,46357,43265,39648,51078,50285,54541,55906,123849,77301,62639,59209,41967,48804,31993,42485,49909,53453,52187,50964,80078,67192,56046,54460,34240,35897,24313,27808,44431,44752,54358,51679,84556,68888,58320,55350,35085,36104,25092,28276,45696,45002,50138,50287,75366,65491,53779,53584,33557,35736,23897,27445,43221,44515,36352,34328,66283,47331,42246,38315,28771,30078,21319,25374,35288,34050,41195,38564,87995,53548,50086,42844,32009,34254,23285,29881,40640,38333,31823,30961,52052,41067,35995,34357,25465,27398,19118,23054,30584,30824,53851,51887,82219,67574,56957,54970,35641,36215,24851,27049,45110,45193,55838,52568,86727,69177,59097,55845,36292,36323,25299,27381,46174,45348,51953,51246,77566,66018,54818,54106,35146,36059,24728,26695,44132,45017,45814,40800,76343,50637,49923,43170,32693,35773,22924,29892,40416,39428,50619,47519,81511,68675,53667,52258,35942,38774,26731,29801,43747,44974,41209,33674,70064,35500,46133,34004,29833,32227,19673,30545,37319,33162,38185,35536,61358,63753,43797,45517,29529,25164,22063,13740,36277,34817,,34601,,83916,,47929,,16432,,0,,30610,,39310,,47411,,42212,,34608,,29971,,38483
cty50009,"Essex County, VT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39134,44129,71715,58583,51668,51027,32826,39024,23903,33549,41784,44902,41058,45217,63829,59932,50278,52474,36624,40785,30290,35787,43134,46359,37298,43209,81939,57558,53567,49881,28758,37498,16769,31504,40508,43725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41368,45150,71060,58456,52334,51580,35571,40325,26725,34530,43186,45879,42007,47296,63162,61759,50340,54529,38080,42809,31625,37188,43656,48403,40645,43486,81196,56720,54651,49680,32577,38064,20804,31727,42594,43982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50011,"Franklin County, VT",44936,41879,869145,32190,45779,39579,14068,46074,0,51662,26122,42970,,,,,,,,,,,,,,,,,,,,,,,,,46010,48254,72037,71918,53949,57395,36497,36624,28396,27804,44788,46425,47496,48095,74614,70112,55727,56603,37731,37326,29780,29553,46124,46223,44624,48391,69265,73592,52206,58160,35420,35990,27296,26103,43543,46683,,34726,,1062314,,71358,,26960,,6170,,45253,,37673,,1027625,,72160,,32069,,15940,,48603,,,,,,,,,,,,,47668,49156,73571,72049,55214,57981,38597,37346,30001,27520,46118,47127,48990,49085,77010,69624,57389,57074,39816,38401,31141,29902,47601,47047,46399,49235,70371,74319,53441,58845,37867,36370,29475,25196,45092,47307,33512,47292,60610,52238,39207,49108,23994,45803,14756,43110,31076,47451,45734,41281,50725,63225,45726,48733,41614,36597,39207,28290,43533,42229,26996,55513,55426,42668,32451,51023,14990,62969,1539,76484,23273,56380,23558,33851,63788,71587,37421,51106,16696,29148,4335,17186,26686,39324,22359,30285,43532,64375,31246,45199,19712,25565,13634,14944,25162,34510,23986,37028,75718,75532,39619,55261,13574,31803,0,18987,26431,42984
cty50013,"Grand Isle County, VT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47857,46753,69876,69299,52565,54863,35757,34311,27863,25397,43776,44051,48952,48579,69566,64395,53281,54400,37375,39404,30187,33171,44868,46454,46789,45261,70559,74062,52033,55285,34120,29659,25442,17796,42767,41978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48987,48224,70458,69872,53256,56066,37561,35853,29314,26074,44705,45471,49500,49429,67802,64285,53077,55065,39293,40642,32194,33871,45513,47439,48619,47287,73392,75683,53535,57004,35867,31168,26399,17978,44005,43655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50015,"Lamoille County, VT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45008,47170,70591,66360,52413,54482,34945,36934,26738,29271,43265,45335,46055,47211,73815,66004,54063,54377,35508,37395,27225,30398,44167,45320,43939,47143,67873,67011,50954,54754,34296,36453,26150,28035,42379,45431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46476,47377,73012,66145,53743,54592,36549,37135,27584,28557,44331,45534,47154,47331,76732,64920,55531,54089,37001,37647,27770,29965,45190,45346,45822,47414,69742,67429,52382,55138,36525,36592,27928,27057,43885,45773,36136,42699,79384,101504,45561,57750,24680,28324,12518,7005,34140,41659,,,,,,,,,,,,,,42322,,70929,,51479,,33896,,19486,,42590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50017,"Orange County, VT",,51446,,77122,,54225,,40301,,31172,,46370,,,,,,,,,,,,,,,,,,,,,,,,,43577,46823,71427,71496,52594,56628,34626,35508,26199,26489,43170,45472,44534,46488,77511,68718,54944,55109,34350,35793,25230,27923,43886,44724,42714,47157,65586,74753,50272,58337,34902,35071,27335,24709,42396,46249,,33434,,59440,,42313,,28407,,20632,,34999,,,,,,,,,,,,,,,,,,,,,,,,,45278,47594,73102,71512,53834,57154,36637,36234,27675,26210,44419,46147,46414,47321,80331,68670,56692,55985,36490,37226,26544,28627,45353,45918,44222,47858,66426,74671,51125,58685,36829,35648,28974,24173,43509,46841,32418,42913,1062314,44906,69393,43741,21841,42468,0,41398,40924,43111,,,,,,,,,,,,,,45960,,48176,,47128,,45888,,44723,,46541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty50019,"Orleans County, VT",,45814,,53104,,46998,,42535,,39281,,44569,,,,,,,,,,,,,,,,,,,,,,,,,44190,44637,76844,70593,55932,56828,36307,36948,27363,28456,45544,46361,44119,44043,83986,63523,58117,53364,35129,38185,25226,31849,45639,45321,44270,45164,71095,76768,54100,59849,37304,35932,29282,25419,45412,47378,,38213,,32488,,35796,,39312,,41500,,37560,,,,,,,,,,,,,,,,,,,,,,,,,45270,45174,79681,71870,57168,57768,37593,37111,27690,27259,46340,46905,45000,44586,85600,65486,58844,54662,36566,38214,25805,30554,46241,45909,45553,45699,74950,77497,55794,60472,38512,36167,29395,24247,46463,47910,41927,35109,1062314,37528,71567,36063,29397,34457,8785,33102,46318,35267,,37278,,57376,,44554,,33505,,25688,,38690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
