cty,name,kir_rA_gP_pall,kir_rA_gP_pall_l,kir_rA_gP_p100,kir_rA_gP_p100_l,kir_rA_gP_p75,kir_rA_gP_p75_l,kir_rA_gP_p25,kir_rA_gP_p25_l,kir_rA_gP_p1,kir_rA_gP_p1_l,kir_rA_gP_p50,kir_rA_gP_p50_l,kir_rA_gF_pall,kir_rA_gF_pall_l,kir_rA_gF_p100,kir_rA_gF_p100_l,kir_rA_gF_p75,kir_rA_gF_p75_l,kir_rA_gF_p25,kir_rA_gF_p25_l,kir_rA_gF_p1,kir_rA_gF_p1_l,kir_rA_gF_p50,kir_rA_gF_p50_l,kir_rA_gM_pall,kir_rA_gM_pall_l,kir_rA_gM_p100,kir_rA_gM_p100_l,kir_rA_gM_p75,kir_rA_gM_p75_l,kir_rA_gM_p25,kir_rA_gM_p25_l,kir_rA_gM_p1,kir_rA_gM_p1_l,kir_rA_gM_p50,kir_rA_gM_p50_l,kir_rP_gP_pall,kir_rP_gP_pall_l,kir_rP_gP_p100,kir_rP_gP_p100_l,kir_rP_gP_p75,kir_rP_gP_p75_l,kir_rP_gP_p25,kir_rP_gP_p25_l,kir_rP_gP_p1,kir_rP_gP_p1_l,kir_rP_gP_p50,kir_rP_gP_p50_l,kir_rP_gF_pall,kir_rP_gF_pall_l,kir_rP_gF_p100,kir_rP_gF_p100_l,kir_rP_gF_p75,kir_rP_gF_p75_l,kir_rP_gF_p25,kir_rP_gF_p25_l,kir_rP_gF_p1,kir_rP_gF_p1_l,kir_rP_gF_p50,kir_rP_gF_p50_l,kir_rP_gM_pall,kir_rP_gM_pall_l,kir_rP_gM_p100,kir_rP_gM_p100_l,kir_rP_gM_p75,kir_rP_gM_p75_l,kir_rP_gM_p25,kir_rP_gM_p25_l,kir_rP_gM_p1,kir_rP_gM_p1_l,kir_rP_gM_p50,kir_rP_gM_p50_l,kir_rB_gP_pall,kir_rB_gP_pall_l,kir_rB_gP_p100,kir_rB_gP_p100_l,kir_rB_gP_p75,kir_rB_gP_p75_l,kir_rB_gP_p25,kir_rB_gP_p25_l,kir_rB_gP_p1,kir_rB_gP_p1_l,kir_rB_gP_p50,kir_rB_gP_p50_l,kir_rB_gF_pall,kir_rB_gF_pall_l,kir_rB_gF_p100,kir_rB_gF_p100_l,kir_rB_gF_p75,kir_rB_gF_p75_l,kir_rB_gF_p25,kir_rB_gF_p25_l,kir_rB_gF_p1,kir_rB_gF_p1_l,kir_rB_gF_p50,kir_rB_gF_p50_l,kir_rB_gM_pall,kir_rB_gM_pall_l,kir_rB_gM_p100,kir_rB_gM_p100_l,kir_rB_gM_p75,kir_rB_gM_p75_l,kir_rB_gM_p25,kir_rB_gM_p25_l,kir_rB_gM_p1,kir_rB_gM_p1_l,kir_rB_gM_p50,kir_rB_gM_p50_l,kir_rW_gP_pall,kir_rW_gP_pall_l,kir_rW_gP_p100,kir_rW_gP_p100_l,kir_rW_gP_p75,kir_rW_gP_p75_l,kir_rW_gP_p25,kir_rW_gP_p25_l,kir_rW_gP_p1,kir_rW_gP_p1_l,kir_rW_gP_p50,kir_rW_gP_p50_l,kir_rW_gF_pall,kir_rW_gF_pall_l,kir_rW_gF_p100,kir_rW_gF_p100_l,kir_rW_gF_p75,kir_rW_gF_p75_l,kir_rW_gF_p25,kir_rW_gF_p25_l,kir_rW_gF_p1,kir_rW_gF_p1_l,kir_rW_gF_p50,kir_rW_gF_p50_l,kir_rW_gM_pall,kir_rW_gM_pall_l,kir_rW_gM_p100,kir_rW_gM_p100_l,kir_rW_gM_p75,kir_rW_gM_p75_l,kir_rW_gM_p25,kir_rW_gM_p25_l,kir_rW_gM_p1,kir_rW_gM_p1_l,kir_rW_gM_p50,kir_rW_gM_p50_l,kir_rH_gP_pall,kir_rH_gP_pall_l,kir_rH_gP_p100,kir_rH_gP_p100_l,kir_rH_gP_p75,kir_rH_gP_p75_l,kir_rH_gP_p25,kir_rH_gP_p25_l,kir_rH_gP_p1,kir_rH_gP_p1_l,kir_rH_gP_p50,kir_rH_gP_p50_l,kir_rH_gF_pall,kir_rH_gF_pall_l,kir_rH_gF_p100,kir_rH_gF_p100_l,kir_rH_gF_p75,kir_rH_gF_p75_l,kir_rH_gF_p25,kir_rH_gF_p25_l,kir_rH_gF_p1,kir_rH_gF_p1_l,kir_rH_gF_p50,kir_rH_gF_p50_l,kir_rH_gM_pall,kir_rH_gM_pall_l,kir_rH_gM_p100,kir_rH_gM_p100_l,kir_rH_gM_p75,kir_rH_gM_p75_l,kir_rH_gM_p25,kir_rH_gM_p25_l,kir_rH_gM_p1,kir_rH_gM_p1_l,kir_rH_gM_p50,kir_rH_gM_p50_l,kir_rNA_gP_pall,kir_rNA_gP_pall_l,kir_rNA_gP_p100,kir_rNA_gP_p100_l,kir_rNA_gP_p75,kir_rNA_gP_p75_l,kir_rNA_gP_p25,kir_rNA_gP_p25_l,kir_rNA_gP_p1,kir_rNA_gP_p1_l,kir_rNA_gP_p50,kir_rNA_gP_p50_l,kir_rNA_gF_pall,kir_rNA_gF_pall_l,kir_rNA_gF_p100,kir_rNA_gF_p100_l,kir_rNA_gF_p75,kir_rNA_gF_p75_l,kir_rNA_gF_p25,kir_rNA_gF_p25_l,kir_rNA_gF_p1,kir_rNA_gF_p1_l,kir_rNA_gF_p50,kir_rNA_gF_p50_l,kir_rNA_gM_pall,kir_rNA_gM_pall_l,kir_rNA_gM_p100,kir_rNA_gM_p100_l,kir_rNA_gM_p75,kir_rNA_gM_p75_l,kir_rNA_gM_p25,kir_rNA_gM_p25_l,kir_rNA_gM_p1,kir_rNA_gM_p1_l,kir_rNA_gM_p50,kir_rNA_gM_p50_l
cty46035,"Davison County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33607,35621,51216,48230,38717,39788,26681,29581,18989,24046,32533,34371,29586,30854,47247,49502,34240,35967,23254,23341,16282,17251,28232,28621,37656,40245,55141,47633,43066,43308,30538,36242,22659,32119,36836,39869,,26809,,,,,,26177,,23665,,27923,,,,,,,,,,,,,,,,,,,,,,,,,34291,36635,51387,47152,39121,40242,27641,31497,20440,26867,33033,35590,30074,31643,46722,47631,34508,36233,23869,24501,17517,19206,28588,29447,38669,41506,56739,47339,43890,43997,31682,38393,23816,34970,37587,41285,30936,34940,649917,43405,83532,38033,29005,33078,4350,28997,47054,35556,,39777,,649917,,58478,,30286,,15679,,41499,,31663,,23434,,28331,,34486,,41502,,31100,13498,13940,69442,39984,36215,28084,15956,14000,3303,4374,25897,20868,8258,12561,,89567,,36765,10183,13589,7717,52,11791,23675,15115,15457,71501,18523,39365,17533,16871,15711,3268,14460,28574,16678
cty35055,"Taos County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25413,23867,42194,37396,33268,30668,23608,21531,17361,16472,28372,25917,24022,22499,32343,36083,27530,28417,23058,20322,20203,16449,25089,23732,26871,25138,50974,38454,38276,32813,23952,22772,14720,16552,31298,28064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31032,28469,44487,34575,36480,31082,28263,26170,23083,23475,32150,28516,25062,26210,38350,32932,30605,28774,23362,24009,19024,21850,26585,26031,37168,30954,45165,36741,40231,33848,34559,28627,30847,25253,37359,31378,26679,23688,42486,40930,33176,31171,25177,21894,19245,14207,29143,26596,25423,22121,28897,39129,26738,28813,24945,20269,23817,15018,25823,24269,28040,25159,56153,40849,39290,33059,26037,23621,15281,13520,32548,28799,14044,13956,29447,21040,21341,17482,14232,13398,9702,10491,17636,15371,16806,12900,,14884,,13660,19995,12613,12267,11879,25305,13080,10821,14773,20004,23961,14354,20328,8233,13725,4324,9028,11485,17171
cty38071,"Ramsey County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35048,35831,58541,53279,41663,41846,27328,29120,18289,22263,34224,35047,32352,32355,53906,52711,37745,38238,25393,25455,17578,19318,30934,30754,37628,39001,65585,53845,45903,45122,28957,32497,18405,25187,37346,38886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37765,38139,54056,49574,42354,41894,31933,32517,25610,27612,36770,36883,33746,34261,49961,49039,37923,38424,27967,27779,22104,23045,32332,32226,41941,41801,59945,50399,47044,45204,35399,36990,28217,32065,40940,41187,,19094,,35002,,25712,,16599,,9285,,21192,,,,,,,,,,,,,,,,,,,,,,,,,13406,17425,41977,51747,26657,35069,13443,17507,4949,5689,19809,26206,14476,17648,,71608,,36920,16446,17811,4592,5263,24593,26226,12133,17168,35968,43816,24586,34285,12375,17369,4666,5696,18614,26460
cty46071,"Jackson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24513,23123,27781,45858,25968,34187,23906,19323,22573,11413,24923,26451,21370,21725,14823,161825,18259,44653,21563,16128,23659,3288,20064,27802,28745,24010,47276,34982,38265,30320,27611,21853,20682,16616,33059,26323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27114,31418,28765,39892,27764,35120,26659,28611,25958,25073,27186,31700,23273,30887,19932,76589,22186,44283,24327,23500,25590,14543,23378,32024,31884,31535,49616,27297,39949,29336,29577,33099,22681,35567,34673,31107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18624,12216,16067,4089,16783,7746,17434,12257,17862,15275,17113,10041,15698,10187,,25114,,16304,19400,9288,20915,4390,18404,12439,,13355,,352,,4100,,13290,,19856,,8353
cty46137,"Ziebach County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20684,22273,30258,63779,25704,41232,20498,19715,17163,8355,23070,29868,16258,22132,8702,59379,12721,37603,16306,19908,18706,11742,14670,27310,24403,22563,43282,65551,34642,44397,23884,19279,16813,4666,29446,32158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38548,36681,25920,48357,32585,42121,40202,34323,45475,30269,36506,37960,,33152,,43553,,37742,,31503,,28755,,34112,,42180,,53156,,47660,,39270,,34367,,43514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8942,13704,15329,33344,12456,24241,9778,13345,8006,5792,11092,18595,8182,14191,,31359,,21916,6702,14154,3102,8958,9165,17471,10189,13183,16556,34003,13742,26521,10584,12631,8543,2875,12260,19939
cty35053,"Socorro County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23190,24205,44818,46241,32731,35092,19831,21022,11843,13453,26212,27754,20072,21552,39284,48294,27652,32891,17002,18032,10593,11210,21828,24291,26233,26975,53540,46157,38784,37797,22755,24001,12591,15549,30976,31199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31195,29120,44391,43812,35041,35227,25402,23846,19261,17606,29984,29264,25315,25974,34553,45789,27698,33023,21155,19387,17268,13487,24071,25191,38029,32081,55644,42997,42962,37362,30675,27637,22669,21376,36643,32725,22167,22591,44923,46299,31695,33237,20416,21392,12400,11685,26034,27390,19263,20024,42823,45704,28462,30432,16909,18319,10014,11067,22569,23991,25016,25359,49361,47939,35820,36947,23925,24613,14261,11515,29831,31330,12815,15383,11620,35624,11916,26670,12181,15805,12355,8536,12051,21151,14120,15393,14924,27039,13852,20575,13064,15252,12514,11787,13421,17549,12134,15218,7480,47046,9701,35745,12103,16427,13597,3181,10842,26783
cty31157,"Scotts Bluff County, NE",32559,,91004,,41146,,24404,,13748,,31466,,,,,,,,,,,,,,,,,,,,,,,,,,31401,30007,48558,47577,37190,37150,25782,24322,18449,17216,31356,30411,27038,25142,46643,43465,32845,31857,21011,20136,13705,14621,26391,25074,35741,34704,52122,51122,41702,42145,30313,28524,23088,20319,36073,35509,,25412,,41313,,32603,,22916,,16004,,27745,,,,,,,,,,,,,,23047,,31309,,26541,,20448,,15816,,23545,33594,32620,48024,45533,37789,37443,27722,26966,21384,21269,32469,31915,28874,27395,46917,42113,33488,32365,21732,21648,14842,16824,26963,26205,38327,37735,50394,48521,42123,42273,33342,32232,27658,26015,37635,37409,25535,25506,39160,48441,31230,34887,24244,22970,19056,13139,27714,28986,22242,20597,34621,36133,27039,26771,20731,18907,16785,14171,23829,22582,29205,30471,46747,54952,36877,41105,27991,27300,20692,12810,32380,34716,15749,8432,13243,22276,14423,16347,15484,9483,16196,4571,14959,12936,7843,8247,0,,0,,6236,11229,13373,1677,1826,17446,18963,8740,27324,5535,23348,6475,18956,8260,16214,9549,21256,7299
cty46129,"Walworth County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33192,32463,54942,62085,41059,43809,28548,26332,20667,16937,34575,34411,29782,29763,49077,62329,36197,40380,25639,23752,18928,15868,30393,30615,36328,35301,62906,62843,46017,47597,30780,29016,21397,18251,38318,38268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35547,36289,50239,49194,40756,41602,31763,32280,26251,27392,35965,36626,31107,32383,45029,50483,35670,38882,27426,27499,22538,22437,31062,32250,39611,40746,59245,50616,46930,45383,35666,37137,28714,32201,41032,41348,,23058,,,,,,22724,,15425,,27124,,,,,,,,,,,,,,,,,,,,,,,,,12094,15065,42216,53414,25633,35268,11392,16585,2340,4052,18212,25830,15641,14084,100008,57416,37979,33329,17192,16807,3636,5937,26529,24104,9100,15753,22481,48895,15388,36946,7882,17056,3127,3423,11888,27703
cty27029,"Clearwater County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32502,33402,51888,55942,39799,42477,28333,28154,21067,20427,33883,34808,26486,27663,39299,44032,31239,34170,23950,24388,19286,19643,27257,28487,38613,39212,70860,68416,49496,51066,32682,31889,22766,21328,40795,41182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33910,34636,50191,53375,39914,42246,30152,29520,24112,22793,34722,35424,27859,28127,39017,41769,31946,33621,25384,24708,21459,20670,28298,28484,40070,41344,65767,65691,48602,51306,34654,34298,26165,24696,41209,42572,,32676,,39052,,35497,,32115,,29294,,33813,,,,,,,,,,,,,,,,,,,,,,,,,15286,18204,34814,96395,25024,46422,16243,20698,10819,3928,20536,32933,11498,21869,8018,,9556,,10652,25576,11405,4678,10160,39489,20500,13409,,40559,,31325,22209,14510,9897,2875,32620,23486
cty46031,"Corson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27305,25344,58497,67286,41061,43288,26181,21995,16769,10790,33363,31927,26268,21963,42471,66616,33680,38945,25942,18872,21005,9661,29442,27250,28413,28824,133024,71415,53588,48831,26176,25183,10406,11744,39018,36899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35571,36124,45255,35987,40317,36200,35255,36503,32158,36669,37639,36358,33945,32435,29453,28850,32089,30730,34617,32892,36141,33869,33490,31976,38641,39676,103134,43793,56423,42128,34746,39186,22706,37343,44243,40720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,12223,14307,47642,12004,31126,9881,12769,8479,823,10921,21721,6666,9545,0,34925,789,21062,7303,9818,12289,2279,4072,14683,13073,15426,54098,57932,34084,40718,15531,16169,4180,429,25243,29195
